,Comp_Name,Div_Rate,Div_Yield,Ex_Div,Industry,Price,Price2Book,QuickRatio,Sector,Ticker,Tot.Cash/Share,FCF
61,Western Asset Mortgage Capital  (WMC),0.24,7.84,2021-03-31,REIT\xe2\x80\x94Mortgage,3.01,0.72,7.95,Real Estate,wmc,0.52,-147.65M
62,Aberdeen Global Premier Propert (AWP),0.48,7.68,2021-04-22,Asset Management,6.22,1.19,0.14,Financial Services,awp,0.04,
63,U.S. Bancorp (USB),1.68,2.94,2021-03-30,Banks\xe2\x80\x94Regional,57.23,1.87,0,Financial Services,usb,29.06,3.72B
64,"Plains All American Pipeline, L (PAA)",0.72,7.79,2021-04-29,Oil & Gas Midstream,9.24,0.91,0.61,Energy,paa,0.03,776.00M
65,"Symbol Lookup from Yahoo Finance"",""description"":""Search for ticker symbols for Stocks, Mutual Funds, ETFs, Indices and Futures on Yahoo! Finance."",""keywords"":""symbol lookup, ticker lookup, stock symbol lookup"",""meta"":{""property"":{""twitter:site"":""@YahooFinance"",""fb:pages"":""458584288257241"",""og:image"":""https:\\u002F\\u002Fs.yimg.com\\u002Fcv\\u002Fapiv2\\u002Fsocial\\u002Fimages\\u002Fyahoo_default_logo.png"",""og:description"":""Search for ticker symbols for Stocks, Mutual Funds, ETFs, Indices and Futures on Yahoo! Finance."",""og:title"":""Symbol Lookup from Yahoo Finance"",""twitter:description"":""Search for ticker symbols for Stocks, Mutual Funds, ETFs, Indices and Futures on Yahoo! Finance."",""twitter:title"":""Symbol Lookup from Yahoo Finance"",""al:ios:app_store_id"":""328412701"",""al:ios:app_name"":""Yahoo Finance"",""al:android:url"":""intent:\\u002F\\u002F#Intent;scheme=yfinance;action=android.intent.action.VIEW;package=com.yahoo.mobile.client.android.finance;S.browser_fallback_url=https%3A%2F%2Fplay.google.com%2Fstore%2Fapps%2Fdetails%3Fid%3Dcom.yahoo.mobile.client.android.finance;end"",""al:android:app_name"":""Yahoo Finance"",""al:android:package"":""com.yahoo.mobile.client.android.finance""},""name"":{""apple-itunes-app"":""app-id=328412701, app-clip-bundle-id=com.yahoo.finance.clip-qsp, affiliate-data=ct=us.fin.mbl.smart-banner&pt=9029, app-argument=https:\\u002F\\u002Ffinance.yahoo.com\\u002F"",""oath:guce:consent-host"":""guce.yahoo.com""}}},""spaceid"":null,""status"":{""code"":200,""headers"":null,""redirect"":null,""responseBody"":null,""responseHTML"":null},""appConfig"":{""timeouts"":{""navigate"":10000},""spaceid"":1183300002,""renderTargets"":[{""classNames"":""render-target-default Pos(a)",0,0,0,0,0,2:59PM EDT,0,0,two,0,11.21M
66,Monroe Capital Corporation (MRCC),1.00,9.38,2021-03-15,Mortgage Finance,10.68,0.97,1.58,Financial Services,mrcc,0.32,74.93M
67,Bristol-Myers Squibb Company (BMY),1.96,2.96,2021-03-31,Drug Manufacturers\xe2\x80\x94General,66.01,3.92,1.31,Healthcare,bmy,7.34,13.30B
68,Nustar Energy L.P. (NS),1.60,8.71,2021-02-05,Oil & Gas Midstream,18.37,4.23,1.31,Energy,ns,1.4,317.27M
69,First Trust Energy Infrastructu (FIF),0.75,5.90,2021-05-03,Asset Management,12.61,0,0,Financial Services,fif,0,85.46M
70,Whitestone REIT (WSR),0.43,4.41,2021-05-03,REIT\xe2\x80\x94Retail,9.76,1.25,1.21,Real Estate,wsr,0.61,42.78M
71,Bank OZK (OZK),1.12,2.85,2021-04-09,Banks\xe2\x80\x94Regional,41.22,1.22,0,Financial Services,ozk,17.09,502.34M
72,"DHT Holdings, Inc. (DHT)",1.08,18.46,2021-02-17,Oil & Gas Midstream,5.83,0.90,2.06,Energy,dht,0.4,502.32M
