index,0,1
2018-11-01,0.11,fif
2018-10-01,0.11,fif
2018-09-04,0.11,fif
2018-08-01,0.11,fif
2018-07-02,0.11,fif
2018-06-01,0.11,fif
2018-05-01,0.11,fif
2018-04-02,0.11,fif
2018-03-01,0.11,fif
2018-02-01,0.11,fif
2018-01-02,0.11,fif
2017-12-01,0.11,fif
2017-11-01,0.11,fif
2017-10-02,0.11,fif
2017-09-01,0.11,fif
2017-08-01,0.11,fif
2017-07-03,0.11,fif
2017-06-01,0.11,fif
2017-05-01,0.11,fif
2017-04-03,0.11,fif
2017-03-01,0.11,fif
2017-02-01,0.11,fif
2017-01-03,0.11,fif
2016-12-01,0.11,fif
2016-11-01,0.11,fif
2016-10-03,0.11,fif
2016-09-01,0.11,fif
2016-08-01,0.11,fif
2016-07-01,0.11,fif
2016-06-01,0.11,fif
2016-05-02,0.11,fif
2016-04-01,0.11,fif
2016-03-01,0.11,fif
2016-02-01,0.11,fif
2016-01-04,0.11,fif
2015-12-01,0.45,fif
2015-11-02,0.11,fif
2015-10-01,0.11,fif
2015-09-01,0.11,fif
2015-08-03,0.11,fif
2015-07-01,0.11,fif
2015-06-01,0.11,fif
2015-05-01,0.11,fif
2015-04-01,0.11,fif
2015-03-02,0.11,fif
2015-02-02,0.11,fif
2015-01-02,0.11,fif
2014-12-01,0.11,fif
2014-11-03,1.54,fif
2014-10-01,0.11,fif
2014-09-02,0.11,fif
2014-08-01,0.11,fif
2014-07-01,0.11,fif
2014-06-02,0.11,fif
2014-05-01,0.11,fif
2014-04-01,0.11,fif
2014-03-03,0.11,fif
2014-02-03,0.11,fif
2014-01-02,0.11,fif
2013-12-02,0.11,fif
2013-11-01,1.84,fif
2013-10-01,0.11,fif
2013-09-03,0.11,fif
2013-08-01,0.11,fif
2013-07-01,0.11,fif
2013-06-03,0.11,fif
2013-05-01,0.11,fif
2013-04-01,0.11,fif
2021-05-06,0.688,mplx
2021-02-05,0.688,mplx
2020-11-05,0.688,mplx
2020-08-06,0.688,mplx
2020-05-07,0.688,mplx
2020-02-03,0.688,mplx
2019-11-01,0.678,mplx
2019-08-02,0.668,mplx
2019-05-08,0.658,mplx
2019-02-04,0.648,mplx
2018-11-02,0.638,mplx
2018-08-03,0.628,mplx
2018-05-04,0.618,mplx
2018-02-02,0.608,mplx
2017-11-03,0.588,mplx
2017-08-03,0.563,mplx
2017-05-04,0.54,mplx
2017-02-02,0.52,mplx
2016-11-02,0.515,mplx
2016-07-29,0.51,mplx
2016-04-29,0.505,mplx
2016-02-02,0.5,mplx
2015-10-30,0.47,mplx
2015-07-31,0.44,mplx
2015-05-01,0.41,mplx
2015-01-30,0.383,mplx
2014-10-31,0.358,mplx
2014-07-31,0.343,mplx
2014-05-01,0.328,mplx
2014-01-31,0.313,mplx
2013-10-31,0.297,mplx
2013-07-31,0.285,mplx
2013-05-08,0.273,mplx
2021-07-08,0.51,gis
2021-04-08,0.51,gis
2021-01-07,0.51,gis
2020-10-08,0.51,gis
2020-07-09,0.49,gis
2020-04-08,0.49,gis
2020-01-09,0.49,gis
2019-10-09,0.49,gis
2019-07-09,0.49,gis
2019-04-09,0.49,gis
2019-01-09,0.49,gis
2018-10-09,0.49,gis
2018-07-09,0.49,gis
2018-04-09,0.49,gis
2018-01-09,0.49,gis
2017-10-06,0.49,gis
2017-07-06,0.49,gis
2017-04-06,0.48,gis
2017-01-06,0.48,gis
2016-10-05,0.48,gis
2016-07-07,0.48,gis
2016-04-07,0.46,gis
2016-01-07,0.44,gis
2015-10-07,0.44,gis
2015-07-08,0.44,gis
2015-04-08,0.44,gis
2015-01-08,0.41,gis
2014-10-08,0.41,gis
2014-07-08,0.41,gis
2014-04-08,0.41,gis
2014-01-08,0.38,gis
2013-10-08,0.38,gis
2013-07-08,0.38,gis
2013-04-08,0.33,gis
2021-04-27,0.225,am
2021-02-02,0.308,am
2020-10-28,0.308,am
2020-07-29,0.308,am
2020-04-29,0.308,am
2020-01-30,0.308,am
2019-10-31,0.308,am
2019-07-25,0.308,am
2019-04-25,0.303,am
2019-01-31,0.164,am
2018-11-01,0.144,am
2018-08-01,0.125,am
2018-05-02,0.108,am
2018-01-31,0.075,am
2017-10-31,0.059,am
2017-08-01,0.027,am
2021-05-06,0.1,arlp
2020-02-06,0.4,arlp
2019-11-06,0.54,arlp
2019-08-06,0.54,arlp
2019-05-07,0.535,arlp
2019-02-06,0.53,arlp
2018-11-06,0.525,arlp
2018-08-06,0.52,arlp
2018-05-07,0.515,arlp
2018-02-06,0.51,arlp
2017-11-06,0.505,arlp
2017-08-03,0.5,arlp
2017-05-04,0.438,arlp
2017-02-03,0.438,arlp
2016-11-03,0.438,arlp
2016-08-03,0.438,arlp
2016-05-04,0.438,arlp
2016-02-03,0.675,arlp
2015-11-04,0.675,arlp
2015-08-05,0.675,arlp
2015-05-06,0.663,arlp
2015-02-04,0.65,arlp
2014-11-05,0.638,arlp
2014-08-05,0.625,arlp
2014-05-06,0.6115,arlp
2014-02-05,0.599,arlp
2013-11-05,0.5875,arlp
2013-08-05,0.5765,arlp
2013-05-06,0.565,arlp
2021-06-25,0.06,psec
2021-05-26,0.06,psec
2021-04-29,0.06,psec
2021-04-19,0.06,psec
2021-03-30,0.06,psec
2021-02-25,0.06,psec
